filename,width,height,class,xmin,ymin,xmax,ymax
417.jpg,520,520,left_foot,102,374,233,201
417.jpg,520,520,right_foot,331,450,444,316
428.jpg,520,520,left_foot,122,501,245,276
428.jpg,520,520,right_foot,282,501,404,277
439.jpg,520,520,right_foot,73,501,307,312
461.jpg,520,520,right_foot,11,500,177,46
479.jpg,520,520,right_foot,161,501,342,40
489.jpg,520,520,right_foot,65,422,162,177
517.jpg,520,520,right_foot,52,402,172,40
527.jpg,520,520,right_foot,177,501,327,143
537.jpg,520,520,left_foot,103,435,203,213
537.jpg,520,520,right_foot,250,449,358,231
1507.jpg,520,520,right_foot,144,501,276,13
468.jpg,520,520,left_foot,125,403,306,226
554.jpg,520,520,left_foot,158,441,227,314
554.jpg,520,520,right_foot,256,337,312,198
1509.jpg,520,520,left_foot,328,357,425,91
564.jpg,520,520,left_foot,150,312,215,170
576.jpg,520,520,left_foot,172,501,372,23
596.jpg,520,520,right_foot,213,434,319,126
612.jpg,520,520,left_foot,236,501,359,86
2810.jpg,520,520,left_foot,157,358,263,58
2810.jpg,520,520,right_foot,265,347,371,60
663.jpg,520,520,right_foot,14,501,277,52
672.jpg,520,520,right_foot,188,481,337,77
1517.jpg,520,520,right_foot,141,501,262,150
652.jpg,520,520,left_foot,126,442,388,11
683.jpg,520,520,left_foot,216,287,285,142
2458.jpg,520,520,left_foot,115,293,256,13
2458.jpg,520,520,right_foot,266,300,400,11
694.jpg,520,520,left_foot,156,415,305,43
694.jpg,520,520,right_foot,311,466,438,93
773.jpg,520,520,left_foot,103,475,207,251
773.jpg,520,520,right_foot,198,383,326,187
2711.jpg,520,520,left_foot,38,445,206,68
2711.jpg,520,520,right_foot,288,385,450,11
728.jpg,520,520,left_foot,197,373,320,250
728.jpg,520,520,right_foot,323,310,477,167
742.jpg,520,520,left_foot,17,279,277,156
742.jpg,520,520,right_foot,15,393,262,269
752.jpg,520,520,left_foot,186,361,274,137
752.jpg,520,520,right_foot,332,486,419,266
763.jpg,520,520,right_foot,115,466,269,29
709.jpg,520,520,left_foot,161,501,319,11
841.jpg,520,520,right_foot,126,412,230,157
2650.jpg,520,520,left_foot,180,429,365,66
797.jpg,520,520,left_foot,142,447,223,308
797.jpg,520,520,right_foot,277,446,360,308
808.jpg,520,520,left_foot,194,496,320,121
829.jpg,520,520,left_foot,251,446,389,69
852.jpg,520,520,left_foot,110,284,251,128
852.jpg,520,520,right_foot,229,470,333,257
5975.jpg,520,520,left_foot,199,501,459,18
1518.jpg,520,520,left_foot,172,501,325,117
865.jpg,520,520,left_foot,128,433,228,187
865.jpg,520,520,right_foot,251,436,353,200
3217.jpg,520,520,left_foot,243,442,391,14
876.jpg,520,520,left_foot,278,501,427,135
886.jpg,520,520,right_foot,125,438,206,173
896.jpg,520,520,right_foot,182,420,376,255
926.jpg,520,520,left_foot,116,443,310,106
2712.jpg,520,520,left_foot,16,501,258,45
2712.jpg,520,520,right_foot,250,501,483,94
942.jpg,520,520,left_foot,136,415,304,272
942.jpg,520,520,right_foot,309,501,399,326
954.jpg,520,520,left_foot,228,413,378,225
963.jpg,520,520,left_foot,266,501,375,42
974.jpg,520,520,left_foot,125,429,311,267
984.jpg,520,520,right_foot,141,484,354,11
994.jpg,520,520,left_foot,181,427,296,116
1030.jpg,520,520,right_foot,134,486,425,64
1041.jpg,520,520,right_foot,115,484,272,11
1051.jpg,520,520,left_foot,103,417,324,305
1062.jpg,520,520,left_foot,118,444,241,114
1062.jpg,520,520,right_foot,274,490,375,148
1072.jpg,520,520,left_foot,338,501,501,216
1083.jpg,520,520,left_foot,264,305,312,194
1019.jpg,520,520,left_foot,176,381,227,260
1019.jpg,520,520,right_foot,224,375,270,266
2476.jpg,520,520,left_foot,93,501,254,13
2476.jpg,520,520,right_foot,240,501,417,11
1103.jpg,520,520,right_foot,218,329,306,253
1159.jpg,520,520,left_foot,107,427,246,276
1159.jpg,520,520,right_foot,236,431,349,259
1163.jpg,520,520,right_foot,54,442,209,150
1125.jpg,520,520,left_foot,169,380,297,162
1135.jpg,520,520,left_foot,156,398,304,226
1098.jpg,520,520,right_foot,131,414,283,79
1176.jpg,520,520,left_foot,160,402,214,279
1176.jpg,520,520,right_foot,262,400,333,287
1186.jpg,520,520,right_foot,173,446,299,250
1197.jpg,520,520,left_foot,185,412,306,232
1213.jpg,520,520,left_foot,193,358,386,11
1223.jpg,520,520,left_foot,356,469,497,262
1223.jpg,520,520,right_foot,135,307,237,93
1234.jpg,520,520,left_foot,87,416,200,196
1234.jpg,520,520,right_foot,183,501,319,349
1244.jpg,520,520,left_foot,183,375,248,177
1244.jpg,520,520,right_foot,295,366,357,176
1318.jpg,520,520,left_foot,104,501,249,81
1318.jpg,520,520,right_foot,271,501,419,84
1256.jpg,520,520,left_foot,116,463,261,263
1266.jpg,520,520,right_foot,106,437,248,49
1277.jpg,520,520,left_foot,14,494,181,95
1277.jpg,520,520,right_foot,305,490,477,96
1286.jpg,520,520,left_foot,104,426,251,112
1286.jpg,520,520,right_foot,269,402,386,143
1297.jpg,520,520,left_foot,309,483,444,103
1297.jpg,520,520,right_foot,62,442,202,11
2478.jpg,520,520,left_foot,71,396,199,115
2478.jpg,520,520,right_foot,298,387,429,102
1375.jpg,520,520,right_foot,114,501,248,77
1386.jpg,520,520,left_foot,256,501,409,11
1397.jpg,520,520,left_foot,230,501,378,58
3218.jpg,520,520,right_foot,96,501,384,16
1344.jpg,520,520,right_foot,183,337,273,172
1355.jpg,520,520,right_foot,92,501,210,70
1365.jpg,520,520,left_foot,199,401,292,11
1365.jpg,520,520,right_foot,285,401,399,11
1423.jpg,520,520,left_foot,34,306,177,144
1423.jpg,520,520,right_foot,282,333,451,165
1462.jpg,520,520,left_foot,239,472,414,73
2713.jpg,520,520,left_foot,186,470,406,11
1431.jpg,520,520,left_foot,158,299,258,149
1431.jpg,520,520,right_foot,271,290,336,139
1441.jpg,520,520,left_foot,190,501,331,91
1451.jpg,520,520,left_foot,184,473,254,268
1451.jpg,520,520,right_foot,254,469,334,265
1470.jpg,520,520,left_foot,380,443,495,85
1512.jpg,520,520,left_foot,42,439,206,40
1512.jpg,520,520,right_foot,327,467,493,54
1534.jpg,520,520,right_foot,124,255,206,138
1880.jpg,520,520,left_foot,167,501,411,120
1525.jpg,520,520,left_foot,18,295,269,177
1525.jpg,520,520,right_foot,66,435,353,309
1485.jpg,520,520,left_foot,123,431,238,176
1485.jpg,520,520,right_foot,310,447,423,169
1496.jpg,520,520,left_foot,206,385,311,66
1496.jpg,520,520,right_foot,84,401,185,55
2714.jpg,520,520,left_foot,76,436,232,124
2714.jpg,520,520,right_foot,237,442,386,134
1577.jpg,520,520,right_foot,125,440,308,311
3291.jpg,520,520,right_foot,108,494,305,18
248.jpg,520,520,left_foot,239,405,363,68
1521.jpg,520,520,right_foot,217,365,325,186
1585.jpg,520,520,right_foot,142,361,239,78
1572.jpg,520,520,left_foot,144,455,273,158
1572.jpg,520,520,right_foot,299,501,434,217
1860.jpg,520,520,left_foot,11,501,493,24
2651.jpg,520,520,left_foot,195,410,391,55
1678.jpg,520,520,left_foot,119,389,229,184
1678.jpg,520,520,right_foot,299,385,407,178
1644.jpg,520,520,left_foot,165,351,249,80
1644.jpg,520,520,right_foot,277,362,359,68
1686.jpg,520,520,right_foot,104,501,279,50
1671.jpg,520,520,right_foot,189,449,297,149
1696.jpg,520,520,right_foot,130,496,274,11
1663.jpg,520,520,left_foot,201,468,338,99
1781.jpg,520,520,right_foot,144,501,295,49
1745.jpg,520,520,right_foot,208,497,340,109
1359.jpg,520,520,left_foot,102,493,249,180
1359.jpg,520,520,right_foot,256,457,387,121
1737.jpg,520,520,left_foot,93,433,252,247
1763.jpg,520,520,left_foot,135,380,256,203
1763.jpg,520,520,right_foot,244,450,395,303
1748.jpg,520,520,left_foot,120,501,246,42
1748.jpg,520,520,right_foot,268,501,400,11
2811.jpg,520,520,right_foot,155,449,307,25
2368.jpg,520,520,left_foot,168,453,225,305
2368.jpg,520,520,right_foot,272,457,349,298
586.jpg,520,520,left_foot,221,408,306,179
3292.jpg,520,520,left_foot,282,479,478,11
1810.jpg,520,520,left_foot,87,456,300,308
1820.jpg,520,520,left_foot,180,501,447,11
1831.jpg,520,520,left_foot,23,385,182,11
1831.jpg,520,520,right_foot,275,392,441,14
1851.jpg,520,520,right_foot,248,463,444,296
591.jpg,520,520,right_foot,150,501,339,200
1866.jpg,520,520,left_foot,30,269,237,148
1866.jpg,520,520,right_foot,13,336,217,221
1876.jpg,520,520,right_foot,11,487,367,99
2571.jpg,520,520,left_foot,177,501,380,11
1921.jpg,520,520,right_foot,165,380,241,150
1932.jpg,520,520,left_foot,197,501,312,197
1911.jpg,520,520,right_foot,205,404,290,189
605.jpg,520,520,left_foot,40,244,265,135
605.jpg,520,520,right_foot,46,342,264,242
1943.jpg,520,520,left_foot,159,501,408,71
1954.jpg,520,520,left_foot,221,466,340,125
1954.jpg,520,520,right_foot,338,457,468,102
1964.jpg,520,520,left_foot,93,449,213,201
1964.jpg,520,520,right_foot,256,440,387,202
1986.jpg,520,520,left_foot,265,501,444,26
1996.jpg,520,520,left_foot,121,501,196,298
1996.jpg,520,520,right_foot,256,340,416,175
2037.jpg,520,520,left_foot,202,501,375,27
2048.jpg,520,520,left_foot,158,355,256,31
2070.jpg,520,520,left_foot,200,501,381,39
2084.jpg,520,520,right_foot,265,381,360,127
2092.jpg,520,520,left_foot,246,397,347,236
2058.jpg,520,520,right_foot,68,443,266,191
2716.jpg,520,520,left_foot,11,409,208,11
2716.jpg,520,520,right_foot,316,416,501,16
611.jpg,520,520,right_foot,134,316,282,52
2094.jpg,520,520,left_foot,155,403,314,11
2106.jpg,520,520,left_foot,103,380,266,244
2141.jpg,520,520,left_foot,165,463,366,74
2166.jpg,520,520,left_foot,83,341,192,144
2166.jpg,520,520,right_foot,206,332,316,135
2171.jpg,520,520,right_foot,156,489,243,396
2150.jpg,520,520,left_foot,52,350,204,183
2150.jpg,520,520,right_foot,204,478,349,306
2232.jpg,520,520,right_foot,153,401,257,28
2240.jpg,520,520,left_foot,189,365,251,239
2241.jpg,520,520,left_foot,201,376,278,253
2244.jpg,520,520,left_foot,184,351,260,248
2244.jpg,520,520,right_foot,253,462,309,334
2249.jpg,520,520,left_foot,114,272,246,76
2211.jpg,520,520,left_foot,291,396,411,124
2211.jpg,520,520,right_foot,165,390,262,133
303.jpg,520,520,left_foot,182,345,319,209
303.jpg,520,520,right_foot,258,252,462,137
2307.jpg,520,520,left_foot,151,351,193,242
2307.jpg,520,520,right_foot,236,436,274,330
2317.jpg,520,520,right_foot,211,501,357,42
614.jpg,520,520,left_foot,209,460,367,22
2271.jpg,520,520,right_foot,125,501,359,18
2281.jpg,520,520,left_foot,190,368,368,279
2281.jpg,520,520,right_foot,196,265,375,173
2292.jpg,520,520,left_foot,167,486,245,305
2292.jpg,520,520,right_foot,299,482,374,297
2302.jpg,520,520,left_foot,82,493,215,166
2302.jpg,520,520,right_foot,271,499,403,164
2389.jpg,520,520,left_foot,49,379,172,191
2389.jpg,520,520,right_foot,184,371,333,196
317.jpg,520,520,left_foot,64,501,273,34
317.jpg,520,520,right_foot,276,478,490,11
2342.jpg,520,520,left_foot,129,448,501,288
2342.jpg,520,520,right_foot,78,262,501,120
2371.jpg,520,520,right_foot,80,501,261,62
2378.jpg,520,520,left_foot,40,218,264,106
2378.jpg,520,520,right_foot,45,327,252,232
2379.jpg,520,520,left_foot,175,313,233,142
2379.jpg,520,520,right_foot,272,300,334,117
2383.jpg,520,520,right_foot,174,370,334,189
2420.jpg,520,520,left_foot,79,501,265,366
2420.jpg,520,520,right_foot,216,387,413,280
2421.jpg,520,520,left_foot,121,491,244,168
2421.jpg,520,520,right_foot,278,483,412,145
2428.jpg,520,520,left_foot,53,467,214,127
2428.jpg,520,520,right_foot,242,463,389,148
755.jpg,520,520,right_foot,121,368,293,78
2415.jpg,520,520,right_foot,170,341,298,86
2717.jpg,520,520,left_foot,167,343,350,78
3570.jpg,520,520,left_foot,161,409,275,115
3570.jpg,520,520,right_foot,278,432,393,132
300.jpg,520,520,left_foot,199,395,284,180
301.jpg,520,520,left_foot,134,442,216,344
301.jpg,520,520,right_foot,252,501,294,384
2387.jpg,520,520,left_foot,209,501,374,85
302.jpg,520,520,left_foot,208,391,317,107
756.jpg,520,520,left_foot,179,410,280,180
200.jpg,520,520,left_foot,98,207,306,71
200.jpg,520,520,right_foot,67,378,368,259
3155.jpg,520,520,left_foot,50,501,217,142
3155.jpg,520,520,right_foot,237,501,496,312
8.jpg,520,520,left_foot,144,443,276,62
8.jpg,520,520,right_foot,277,448,414,73
130.jpg,520,520,right_foot,347,296,406,165
7145.jpg,520,520,left_foot,221,295,350,53
7146.jpg,520,520,left_foot,121,414,309,11
2031.jpg,520,520,left_foot,275,335,367,40
2718.jpg,520,520,left_foot,207,501,448,14
325.jpg,520,520,left_foot,165,501,332,84
2652.jpg,520,520,left_foot,68,341,235,28
2652.jpg,520,520,right_foot,261,334,426,17
1920.jpg,520,520,right_foot,243,501,290,393
329.jpg,520,520,right_foot,231,386,274,261
403.jpg,520,520,left_foot,171,356,272,248
402.jpg,520,520,right_foot,53,501,223,168
2381.jpg,520,520,left_foot,161,501,263,189
2381.jpg,520,520,right_foot,262,501,367,185
404.jpg,520,520,right_foot,231,344,288,207
332.jpg,520,520,left_foot,246,247,327,53
2032.jpg,520,520,left_foot,233,501,374,25
2719.jpg,520,520,left_foot,191,484,359,11
503.jpg,520,520,right_foot,129,501,279,48
504.jpg,520,520,left_foot,126,501,219,308
504.jpg,520,520,right_foot,238,333,327,151
505.jpg,520,520,right_foot,111,456,419,91
1459.jpg,520,520,left_foot,177,398,257,262
1459.jpg,520,520,right_foot,269,402,339,262
18.jpg,520,520,left_foot,114,410,230,140
18.jpg,520,520,right_foot,267,424,389,150
338.jpg,520,520,right_foot,148,501,340,39
476.jpg,520,520,left_foot,80,501,273,210
476.jpg,520,520,right_foot,279,468,434,136
100.jpg,520,520,left_foot,52,501,256,25
100.jpg,520,520,right_foot,247,501,443,56
2369.jpg,520,520,left_foot,175,501,329,104
3192.jpg,520,520,right_foot,290,454,468,11
346.jpg,520,520,left_foot,118,480,263,140
346.jpg,520,520,right_foot,268,501,391,154
102.jpg,520,520,left_foot,145,269,193,62
102.jpg,520,520,right_foot,243,291,289,77
2812.jpg,520,520,left_foot,240,329,321,94
103.jpg,520,520,left_foot,196,349,231,229
103.jpg,520,520,right_foot,303,328,342,202
20.jpg,520,520,left_foot,160,485,229,306
20.jpg,520,520,right_foot,184,301,297,174
2382.jpg,520,520,left_foot,170,501,405,63
101.jpg,520,520,left_foot,185,373,272,229
101.jpg,520,520,right_foot,284,468,343,303
362.jpg,520,520,left_foot,223,404,340,135
362.jpg,520,520,right_foot,315,424,407,126
105.jpg,520,520,left_foot,196,471,403,77
25.jpg,520,520,left_foot,263,450,385,225
24.jpg,520,520,right_foot,114,501,270,83
477.jpg,520,520,right_foot,100,444,243,11
2720.jpg,520,520,right_foot,25,421,202,11
104.jpg,520,520,left_foot,219,472,419,209
31.jpg,520,520,left_foot,275,473,371,71
27.jpg,520,520,left_foot,349,372,474,135
30.jpg,520,520,left_foot,42,419,184,183
30.jpg,520,520,right_foot,330,404,456,182
29.jpg,520,520,right_foot,267,327,452,226
478.jpg,520,520,right_foot,219,367,308,146
364.jpg,520,520,right_foot,184,408,346,195
2390.jpg,520,520,left_foot,163,348,244,270
2390.jpg,520,520,right_foot,238,444,288,343
368.jpg,520,520,left_foot,132,493,218,275
368.jpg,520,520,right_foot,256,389,394,204
1201.jpg,520,520,left_foot,112,498,232,229
1201.jpg,520,520,right_foot,271,501,375,233
35.jpg,520,520,left_foot,184,401,280,186
133.jpg,520,520,left_foot,46,431,192,168
133.jpg,520,520,right_foot,231,371,443,151
33.jpg,520,520,left_foot,199,501,325,15
34.jpg,520,520,left_foot,257,476,385,79
34.jpg,520,520,right_foot,89,431,248,70
2572.jpg,520,520,right_foot,113,456,330,25
135.jpg,520,520,right_foot,86,438,179,172
2653.jpg,520,520,right_foot,159,317,316,31
376.jpg,520,520,left_foot,156,393,310,229
39.jpg,520,520,left_foot,147,497,255,188
39.jpg,520,520,right_foot,290,501,410,169
2391.jpg,520,520,left_foot,229,344,289,191
38.jpg,520,520,right_foot,99,501,263,210
761.jpg,520,520,left_foot,183,454,304,159
390.jpg,520,520,left_foot,246,328,312,217
42.jpg,520,520,left_foot,120,501,321,59
107.jpg,520,520,left_foot,187,463,421,216
108.jpg,520,520,left_foot,198,501,461,13
109.jpg,520,520,left_foot,280,397,355,115
2384.jpg,520,520,right_foot,186,401,288,183
3219.jpg,520,520,left_foot,37,488,236,16
3219.jpg,520,520,right_foot,290,430,473,11
391.jpg,520,520,right_foot,114,484,323,33
47.jpg,520,520,right_foot,161,501,392,84
111.jpg,520,520,right_foot,220,404,309,178
45.jpg,520,520,left_foot,61,460,218,88
45.jpg,520,520,right_foot,225,445,484,105
110.jpg,520,520,left_foot,161,463,348,108
46.jpg,520,520,left_foot,61,483,279,88
46.jpg,520,520,right_foot,273,467,467,84
3250.jpg,520,520,right_foot,147,322,344,50
395.jpg,520,520,left_foot,180,479,320,86
50.jpg,520,520,right_foot,132,479,314,60
53.jpg,520,520,left_foot,38,501,345,12
54.jpg,520,520,left_foot,371,459,462,104
2813.jpg,520,520,left_foot,54,483,221,77
2813.jpg,520,520,right_foot,267,461,452,68
52.jpg,520,520,right_foot,210,460,328,220
51.jpg,520,520,right_foot,74,501,217,81
1028.jpg,520,520,left_foot,185,353,256,190
1028.jpg,520,520,right_foot,281,350,360,191
601.jpg,520,520,left_foot,305,456,439,163
601.jpg,520,520,right_foot,100,193,274,14
2654.jpg,520,520,left_foot,142,373,314,31
602.jpg,520,520,left_foot,111,336,328,198
603.jpg,520,520,left_foot,51,211,274,94
603.jpg,520,520,right_foot,38,355,270,245
604.jpg,520,520,left_foot,71,394,184,105
604.jpg,520,520,right_foot,256,397,447,158
55.jpg,520,520,left_foot,120,265,223,67
55.jpg,520,520,right_foot,280,259,403,74
2721.jpg,520,520,left_foot,30,501,208,133
2721.jpg,520,520,right_foot,294,501,470,151
608.jpg,520,520,left_foot,144,501,297,11
606.jpg,520,520,right_foot,133,384,345,11
607.jpg,520,520,left_foot,138,501,281,386
609.jpg,520,520,left_foot,136,501,230,316
609.jpg,520,520,right_foot,237,419,318,232
610.jpg,520,520,left_foot,208,293,326,54
766.jpg,520,520,left_foot,177,501,371,23
2985.jpg,520,520,right_foot,93,501,330,13
304.jpg,520,520,left_foot,253,419,400,146
305.jpg,520,520,left_foot,122,409,299,63
306.jpg,520,520,right_foot,160,361,298,67
307.jpg,520,520,right_foot,224,460,332,161
308.jpg,520,520,left_foot,222,376,390,27
309.jpg,520,520,left_foot,130,417,252,213
309.jpg,520,520,right_foot,269,399,379,181
2986.jpg,520,520,right_foot,175,452,360,18
613.jpg,520,520,right_foot,131,501,304,38
310.jpg,520,520,left_foot,164,449,351,42
311.jpg,520,520,right_foot,163,288,343,116
312.jpg,520,520,right_foot,152,496,304,33
313.jpg,520,520,left_foot,130,496,373,58
314.jpg,520,520,left_foot,146,405,267,188
2722.jpg,520,520,left_foot,11,501,217,66
2722.jpg,520,520,right_foot,266,501,501,66
315.jpg,520,520,left_foot,214,423,343,131
316.jpg,520,520,left_foot,17,354,196,160
316.jpg,520,520,right_foot,146,281,281,40
615.jpg,520,520,left_foot,199,501,255,335
615.jpg,520,520,right_foot,316,495,371,324
616.jpg,520,520,left_foot,11,501,284,103
616.jpg,520,520,right_foot,230,501,482,103
617.jpg,520,520,left_foot,370,402,482,148
618.jpg,520,520,left_foot,11,428,260,178
318.jpg,520,520,left_foot,62,389,160,157
318.jpg,520,520,right_foot,338,399,425,203
319.jpg,520,520,left_foot,81,491,168,262
319.jpg,520,520,right_foot,225,391,355,184
320.jpg,520,520,left_foot,121,335,203,127
320.jpg,520,520,right_foot,248,468,329,265
321.jpg,520,520,right_foot,70,381,200,101
619.jpg,520,520,left_foot,165,428,210,310
619.jpg,520,520,right_foot,243,438,343,351
620.jpg,520,520,right_foot,230,340,352,103
2987.jpg,520,520,left_foot,157,497,329,12
2987.jpg,520,520,right_foot,338,493,501,11
322.jpg,520,520,left_foot,75,448,186,185
322.jpg,520,520,right_foot,333,445,434,193
2723.jpg,520,520,left_foot,262,501,446,11
323.jpg,520,520,left_foot,164,458,205,335
323.jpg,520,520,right_foot,240,452,281,343
324.jpg,520,520,right_foot,205,369,319,157
621.jpg,520,520,right_foot,194,332,253,190
622.jpg,520,520,right_foot,168,501,320,146
1725.jpg,520,520,left_foot,336,438,470,11
1725.jpg,520,520,right_foot,58,411,190,11
2494.jpg,520,520,left_foot,11,476,234,120
2494.jpg,520,520,right_foot,363,410,501,19
326.jpg,520,520,left_foot,20,501,191,134
326.jpg,520,520,right_foot,315,501,487,123
327.jpg,520,520,left_foot,40,501,170,197
327.jpg,520,520,right_foot,339,501,451,199
623.jpg,520,520,left_foot,114,476,204,267
623.jpg,520,520,right_foot,261,501,351,283
624.jpg,520,520,left_foot,255,413,404,232
625.jpg,520,520,right_foot,11,484,284,57
626.jpg,520,520,right_foot,67,488,212,126
2497.jpg,520,520,left_foot,11,358,169,74
2497.jpg,520,520,right_foot,334,482,501,202
330.jpg,520,520,right_foot,123,488,314,52
331.jpg,520,520,left_foot,169,268,306,38
331.jpg,520,520,right_foot,215,501,300,300
627.jpg,520,520,left_foot,121,424,337,270
628.jpg,520,520,left_foot,62,238,304,127
628.jpg,520,520,right_foot,52,357,296,250
629.jpg,520,520,right_foot,142,462,357,11
630.jpg,520,520,left_foot,235,447,394,58
2988.jpg,520,520,left_foot,326,353,420,82
333.jpg,520,520,left_foot,200,466,388,31
334.jpg,520,520,left_foot,138,497,220,326
334.jpg,520,520,right_foot,218,361,338,221
335.jpg,520,520,left_foot,264,501,397,215
335.jpg,520,520,right_foot,126,501,259,207
336.jpg,520,520,right_foot,204,497,341,117
337.jpg,520,520,left_foot,96,420,224,43
337.jpg,520,520,right_foot,220,395,361,30
767.jpg,520,520,right_foot,135,420,292,102
340.jpg,520,520,left_foot,307,455,449,62
340.jpg,520,520,right_foot,132,460,288,51
341.jpg,520,520,left_foot,142,470,249,309
341.jpg,520,520,right_foot,272,485,376,321
342.jpg,520,520,left_foot,150,275,266,68
342.jpg,520,520,right_foot,284,283,403,71
343.jpg,520,520,right_foot,227,501,357,27
344.jpg,520,520,left_foot,264,380,365,102
345.jpg,520,520,left_foot,274,489,387,55
345.jpg,520,520,right_foot,137,487,255,56
3346.jpg,520,520,left_foot,59,405,203,49
3346.jpg,520,520,right_foot,290,391,433,38
2655.jpg,520,520,left_foot,22,501,203,150
2655.jpg,520,520,right_foot,315,501,493,167
347.jpg,520,520,left_foot,160,371,441,118
349.jpg,520,520,left_foot,152,448,311,50
350.jpg,520,520,left_foot,197,501,249,300
350.jpg,520,520,right_foot,258,501,313,301
351.jpg,520,520,left_foot,118,354,225,54
351.jpg,520,520,right_foot,260,383,380,90
352.jpg,520,520,left_foot,198,474,315,139
353.jpg,520,520,left_foot,154,441,264,92
353.jpg,520,520,right_foot,262,457,365,103
356.jpg,520,520,left_foot,281,421,389,130
354.jpg,520,520,right_foot,151,501,292,65
355.jpg,520,520,left_foot,141,482,233,238
355.jpg,520,520,right_foot,297,281,389,61
357.jpg,520,520,right_foot,247,494,383,99
358.jpg,520,520,right_foot,14,501,179,49
360.jpg,520,520,left_foot,227,424,317,150
2724.jpg,520,520,left_foot,103,347,252,14
2724.jpg,520,520,right_foot,249,376,389,17
361.jpg,520,520,left_foot,59,447,277,88
361.jpg,520,520,right_foot,272,426,465,84
6033.jpg,520,520,right_foot,25,480,118,263
2656.jpg,520,520,right_foot,11,482,260,58
363.jpg,520,520,right_foot,239,343,340,171
365.jpg,520,520,right_foot,244,426,326,212
366.jpg,520,520,left_foot,68,448,248,109
366.jpg,520,520,right_foot,241,446,438,105
367.jpg,520,520,left_foot,231,501,377,135
2511.jpg,520,520,left_foot,201,469,388,11
369.jpg,520,520,left_foot,232,477,334,170
371.jpg,520,520,left_foot,242,406,394,89
371.jpg,520,520,right_foot,90,406,247,110
372.jpg,520,520,right_foot,179,441,259,133
373.jpg,520,520,left_foot,240,479,386,67
374.jpg,520,520,left_foot,126,226,179,112
374.jpg,520,520,right_foot,249,232,309,125
375.jpg,520,520,right_foot,221,431,320,50
2512.jpg,520,520,left_foot,154,475,336,11
382.jpg,520,520,left_foot,118,455,242,118
382.jpg,520,520,right_foot,260,460,382,132
480.jpg,520,520,left_foot,286,463,444,205
480.jpg,520,520,right_foot,172,497,319,255
377.jpg,520,520,left_foot,233,501,434,11
378.jpg,520,520,left_foot,163,445,257,219
378.jpg,520,520,right_foot,307,444,399,214
379.jpg,520,520,left_foot,218,271,262,166
380.jpg,520,520,left_foot,69,220,304,97
380.jpg,520,520,right_foot,64,368,313,252
383.jpg,520,520,right_foot,249,330,336,252
384.jpg,520,520,right_foot,259,501,389,325
385.jpg,520,520,left_foot,265,368,437,122
385.jpg,520,520,right_foot,83,386,196,119
386.jpg,520,520,left_foot,173,438,306,121
387.jpg,520,520,left_foot,235,480,405,39
388.jpg,520,520,left_foot,86,477,260,46
