filename,width,height,left_foot,lxmin,lymin,lxmax,lymax,right_foot,rxmin,rymin,rxmax,rymax
1462.jpg,520,520,left_foot,239,73,414,472,right_foot,0,0,0,0
2713.jpg,520,520,left_foot,186,11,406,470,right_foot,0,0,0,0
1470.jpg,520,520,left_foot,380,85,495,443,right_foot,0,0,0,0
1512.jpg,520,520,left_foot,42,40,206,439,right_foot,327,54,493,467
1534.jpg,520,520,left_foot,0,0,0,0,right_foot,124,138,206,255
1880.jpg,520,520,left_foot,167,120,411,501,right_foot,0,0,0,0
1525.jpg,520,520,left_foot,18,177,269,295,right_foot,66,309,353,435
1496.jpg,520,520,left_foot,206,66,311,385,right_foot,84,55,185,401
2714.jpg,520,520,left_foot,76,124,232,436,right_foot,237,134,386,442
3291.jpg,520,520,left_foot,0,0,0,0,right_foot,108,18,305,494
248.jpg,520,520,left_foot,239,68,363,405,right_foot,0,0,0,0
1521.jpg,520,520,left_foot,0,0,0,0,right_foot,217,186,325,365
1585.jpg,520,520,left_foot,0,0,0,0,right_foot,142,78,239,361
1860.jpg,520,520,left_foot,11,24,493,501,right_foot,0,0,0,0
2651.jpg,520,520,left_foot,195,55,391,410,right_foot,0,0,0,0
1678.jpg,520,520,left_foot,119,184,229,389,right_foot,299,178,407,385
1644.jpg,520,520,left_foot,165,80,249,351,right_foot,277,68,359,362
1686.jpg,520,520,left_foot,0,0,0,0,right_foot,104,50,279,501
1671.jpg,520,520,left_foot,0,0,0,0,right_foot,189,149,297,449
1696.jpg,520,520,left_foot,0,0,0,0,right_foot,130,11,274,496
1663.jpg,520,520,left_foot,201,99,338,468,right_foot,0,0,0,0
1781.jpg,520,520,left_foot,0,0,0,0,right_foot,144,49,295,501
1748.jpg,520,520,left_foot,120,42,246,501,right_foot,268,11,400,501
2811.jpg,520,520,left_foot,0,0,0,0,right_foot,155,25,307,449
2368.jpg,520,520,left_foot,168,305,225,453,right_foot,272,298,349,457
586.jpg,520,520,left_foot,221,179,306,408,right_foot,0,0,0,0
3292.jpg,520,520,left_foot,282,11,478,479,right_foot,0,0,0,0
1820.jpg,520,520,left_foot,180,11,447,501,right_foot,0,0,0,0
1831.jpg,520,520,left_foot,23,11,182,385,right_foot,275,14,441,392
1876.jpg,520,520,left_foot,0,0,0,0,right_foot,11,99,367,487
2571.jpg,520,520,left_foot,177,11,380,501,right_foot,0,0,0,0
1921.jpg,520,520,left_foot,0,0,0,0,right_foot,165,150,241,380
1932.jpg,520,520,left_foot,197,197,312,501,right_foot,0,0,0,0
1911.jpg,520,520,left_foot,0,0,0,0,right_foot,205,189,290,404
605.jpg,520,520,left_foot,40,135,265,244,right_foot,46,242,264,342
1943.jpg,520,520,left_foot,159,71,408,501,right_foot,0,0,0,0
1954.jpg,520,520,left_foot,221,125,340,466,right_foot,338,102,468,457
1964.jpg,520,520,left_foot,93,201,213,449,right_foot,256,202,387,440
1986.jpg,520,520,left_foot,265,26,444,501,right_foot,0,0,0,0
2037.jpg,520,520,left_foot,202,27,375,501,right_foot,0,0,0,0
2048.jpg,520,520,left_foot,158,31,256,355,right_foot,0,0,0,0
2070.jpg,520,520,left_foot,200,39,381,501,right_foot,0,0,0,0
2092.jpg,520,520,left_foot,246,236,347,397,right_foot,0,0,0,0
2716.jpg,520,520,left_foot,11,11,208,409,right_foot,316,16,501,416
611.jpg,520,520,left_foot,0,0,0,0,right_foot,134,52,282,316
2094.jpg,520,520,left_foot,155,11,314,403,right_foot,0,0,0,0
2141.jpg,520,520,left_foot,165,74,366,463,right_foot,0,0,0,0
2166.jpg,520,520,left_foot,83,144,192,341,right_foot,206,135,316,332
2232.jpg,520,520,left_foot,0,0,0,0,right_foot,153,28,257,401
2211.jpg,520,520,left_foot,291,124,411,396,right_foot,165,133,262,390
2317.jpg,520,520,left_foot,0,0,0,0,right_foot,211,42,357,501
614.jpg,520,520,left_foot,209,22,367,460,right_foot,0,0,0,0
2271.jpg,520,520,left_foot,0,0,0,0,right_foot,125,18,359,501
2281.jpg,520,520,left_foot,190,279,368,368,right_foot,196,173,375,265
2292.jpg,520,520,left_foot,167,305,245,486,right_foot,299,297,374,482
317.jpg,520,520,left_foot,64,34,273,501,right_foot,276,11,490,478
2342.jpg,520,520,left_foot,129,288,501,448,right_foot,78,120,501,262
2371.jpg,520,520,left_foot,0,0,0,0,right_foot,80,62,261,501
2378.jpg,520,520,left_foot,40,106,264,218,right_foot,45,232,252,327
2379.jpg,520,520,left_foot,175,142,233,313,right_foot,272,117,334,300
2428.jpg,520,520,left_foot,53,127,214,467,right_foot,242,148,389,463
755.jpg,520,520,left_foot,0,0,0,0,right_foot,121,78,293,368
2415.jpg,520,520,left_foot,0,0,0,0,right_foot,170,86,298,341
2717.jpg,520,520,left_foot,167,78,350,343,right_foot,0,0,0,0
3570.jpg,520,520,left_foot,161,115,275,409,right_foot,278,132,393,432
2387.jpg,520,520,left_foot,209,85,374,501,right_foot,0,0,0,0
302.jpg,520,520,left_foot,208,107,317,391,right_foot,0,0,0,0
200.jpg,520,520,left_foot,98,71,306,207,right_foot,67,259,368,378
3155.jpg,520,520,left_foot,50,142,217,501,right_foot,237,312,496,501
8.jpg,520,520,left_foot,144,62,276,443,right_foot,277,73,414,448
130.jpg,520,520,left_foot,0,0,0,0,right_foot,347,165,406,296
7145.jpg,520,520,left_foot,221,53,350,295,right_foot,0,0,0,0
7146.jpg,520,520,left_foot,121,11,309,414,right_foot,0,0,0,0
2031.jpg,520,520,left_foot,275,40,367,335,right_foot,0,0,0,0
2718.jpg,520,520,left_foot,207,14,448,501,right_foot,0,0,0,0
325.jpg,520,520,left_foot,165,84,332,501,right_foot,0,0,0,0
2652.jpg,520,520,left_foot,68,28,235,341,right_foot,261,17,426,334
1920.jpg,520,520,left_foot,0,0,0,0,right_foot,243,393,290,501
2381.jpg,520,520,left_foot,161,189,263,501,right_foot,262,185,367,501
332.jpg,520,520,left_foot,246,53,327,247,right_foot,0,0,0,0
2032.jpg,520,520,left_foot,233,25,374,501,right_foot,0,0,0,0
2719.jpg,520,520,left_foot,191,11,359,484,right_foot,0,0,0,0
503.jpg,520,520,left_foot,0,0,0,0,right_foot,129,48,279,501
1459.jpg,520,520,left_foot,177,262,257,398,right_foot,269,262,339,402
18.jpg,520,520,left_foot,114,140,230,410,right_foot,267,150,389,424
338.jpg,520,520,left_foot,0,0,0,0,right_foot,148,39,340,501
100.jpg,520,520,left_foot,52,25,256,501,right_foot,247,56,443,501
3192.jpg,520,520,left_foot,0,0,0,0,right_foot,290,11,468,454
346.jpg,520,520,left_foot,118,140,263,480,right_foot,268,154,391,501
102.jpg,520,520,left_foot,145,62,193,269,right_foot,243,77,289,291
2812.jpg,520,520,left_foot,240,94,321,329,right_foot,0,0,0,0
103.jpg,520,520,left_foot,196,229,231,349,right_foot,303,202,342,328
20.jpg,520,520,left_foot,160,306,229,485,right_foot,184,174,297,301
362.jpg,520,520,left_foot,223,135,340,404,right_foot,315,126,407,424
105.jpg,520,520,left_foot,196,77,403,471,right_foot,0,0,0,0
24.jpg,520,520,left_foot,0,0,0,0,right_foot,114,83,270,501
477.jpg,520,520,left_foot,0,0,0,0,right_foot,100,11,243,444
2720.jpg,520,520,left_foot,0,0,0,0,right_foot,25,11,202,421
104.jpg,520,520,left_foot,219,209,419,472,right_foot,0,0,0,0
31.jpg,520,520,left_foot,275,71,371,473,right_foot,0,0,0,0
1201.jpg,520,520,left_foot,112,229,232,498,right_foot,271,233,375,501
35.jpg,520,520,left_foot,184,186,280,401,right_foot,0,0,0,0
133.jpg,520,520,left_foot,46,168,192,431,right_foot,231,151,443,371
33.jpg,520,520,left_foot,199,15,325,501,right_foot,0,0,0,0
34.jpg,520,520,left_foot,257,79,385,476,right_foot,89,70,248,431
2572.jpg,520,520,left_foot,0,0,0,0,right_foot,113,25,330,456
135.jpg,520,520,left_foot,0,0,0,0,right_foot,86,172,179,438
2653.jpg,520,520,left_foot,0,0,0,0,right_foot,159,31,316,317
42.jpg,520,520,left_foot,120,59,321,501,right_foot,0,0,0,0
108.jpg,520,520,left_foot,198,13,461,501,right_foot,0,0,0,0
109.jpg,520,520,left_foot,280,115,355,397,right_foot,0,0,0,0
3219.jpg,520,520,left_foot,37,16,236,488,right_foot,290,11,473,430
391.jpg,520,520,left_foot,0,0,0,0,right_foot,114,33,323,484
47.jpg,520,520,left_foot,0,0,0,0,right_foot,161,84,392,501
110.jpg,520,520,left_foot,161,108,348,463,right_foot,0,0,0,0
46.jpg,520,520,left_foot,61,88,279,483,right_foot,273,84,467,467
3250.jpg,520,520,left_foot,0,0,0,0,right_foot,147,50,344,322
50.jpg,520,520,left_foot,0,0,0,0,right_foot,132,60,314,479
53.jpg,520,520,left_foot,38,12,345,501,right_foot,0,0,0,0
54.jpg,520,520,left_foot,371,104,462,459,right_foot,0,0,0,0
2813.jpg,520,520,left_foot,54,77,221,483,right_foot,267,68,452,461
51.jpg,520,520,left_foot,0,0,0,0,right_foot,74,81,217,501
1028.jpg,520,520,left_foot,185,190,256,353,right_foot,281,191,360,350
601.jpg,520,520,left_foot,305,163,439,456,right_foot,100,14,274,193
2654.jpg,520,520,left_foot,142,31,314,373,right_foot,0,0,0,0
603.jpg,520,520,left_foot,51,94,274,211,right_foot,38,245,270,355
2721.jpg,520,520,left_foot,30,133,208,501,right_foot,294,151,470,501
608.jpg,520,520,left_foot,144,11,297,501,right_foot,0,0,0,0
606.jpg,520,520,left_foot,0,0,0,0,right_foot,133,11,345,384
766.jpg,520,520,left_foot,177,23,371,501,right_foot,0,0,0,0
2985.jpg,520,520,left_foot,0,0,0,0,right_foot,93,13,330,501
304.jpg,520,520,left_foot,253,146,400,419,right_foot,0,0,0,0
305.jpg,520,520,left_foot,122,63,299,409,right_foot,0,0,0,0
306.jpg,520,520,left_foot,0,0,0,0,right_foot,160,67,298,361
308.jpg,520,520,left_foot,222,27,390,376,right_foot,0,0,0,0
309.jpg,520,520,left_foot,130,213,252,417,right_foot,269,181,379,399
2986.jpg,520,520,left_foot,0,0,0,0,right_foot,175,18,360,452
613.jpg,520,520,left_foot,0,0,0,0,right_foot,131,38,304,501
310.jpg,520,520,left_foot,164,42,351,449,right_foot,0,0,0,0
312.jpg,520,520,left_foot,0,0,0,0,right_foot,152,33,304,496
313.jpg,520,520,left_foot,130,58,373,496,right_foot,0,0,0,0
2722.jpg,520,520,left_foot,11,66,217,501,right_foot,266,66,501,501
316.jpg,520,520,left_foot,17,160,196,354,right_foot,146,40,281,281
615.jpg,520,520,left_foot,199,335,255,501,right_foot,316,324,371,495
616.jpg,520,520,left_foot,11,103,284,501,right_foot,230,103,482,501
321.jpg,520,520,left_foot,0,0,0,0,right_foot,70,101,200,381
620.jpg,520,520,left_foot,0,0,0,0,right_foot,230,103,352,340
2987.jpg,520,520,left_foot,157,12,329,497,right_foot,338,11,501,493
322.jpg,520,520,left_foot,75,185,186,448,right_foot,333,193,434,445
2723.jpg,520,520,left_foot,262,11,446,501,right_foot,0,0,0,0
1725.jpg,520,520,left_foot,336,11,470,438,right_foot,58,11,190,411
2494.jpg,520,520,left_foot,11,120,234,476,right_foot,363,19,501,410
326.jpg,520,520,left_foot,20,134,191,501,right_foot,315,123,487,501
327.jpg,520,520,left_foot,40,197,170,501,right_foot,339,199,451,501
624.jpg,520,520,left_foot,255,232,404,413,right_foot,0,0,0,0
625.jpg,520,520,left_foot,0,0,0,0,right_foot,11,57,284,484
626.jpg,520,520,left_foot,0,0,0,0,right_foot,67,126,212,488
2497.jpg,520,520,left_foot,11,74,169,358,right_foot,334,202,501,482
330.jpg,520,520,left_foot,0,0,0,0,right_foot,123,52,314,488
331.jpg,520,520,left_foot,169,38,306,268,right_foot,215,300,300,501
628.jpg,520,520,left_foot,62,127,304,238,right_foot,52,250,296,357
629.jpg,520,520,left_foot,0,0,0,0,right_foot,142,11,357,462
630.jpg,520,520,left_foot,235,58,394,447,right_foot,0,0,0,0
2988.jpg,520,520,left_foot,326,82,420,353,right_foot,0,0,0,0
333.jpg,520,520,left_foot,200,31,388,466,right_foot,0,0,0,0
335.jpg,520,520,left_foot,264,215,397,501,right_foot,126,207,259,501
337.jpg,520,520,left_foot,96,43,224,420,right_foot,220,30,361,395
767.jpg,520,520,left_foot,0,0,0,0,right_foot,135,102,292,420
340.jpg,520,520,left_foot,307,62,449,455,right_foot,132,51,288,460
342.jpg,520,520,left_foot,150,68,266,275,right_foot,284,71,403,283
343.jpg,520,520,left_foot,0,0,0,0,right_foot,227,27,357,501
344.jpg,520,520,left_foot,264,102,365,380,right_foot,0,0,0,0
345.jpg,520,520,left_foot,274,55,387,489,right_foot,137,56,255,487
3346.jpg,520,520,left_foot,59,49,203,405,right_foot,290,38,433,391
2655.jpg,520,520,left_foot,22,150,203,501,right_foot,315,167,493,501
347.jpg,520,520,left_foot,160,118,441,371,right_foot,0,0,0,0
349.jpg,520,520,left_foot,152,50,311,448,right_foot,0,0,0,0
350.jpg,520,520,left_foot,197,300,249,501,right_foot,258,301,313,501
353.jpg,520,520,left_foot,154,92,264,441,right_foot,262,103,365,457
356.jpg,520,520,left_foot,281,130,389,421,right_foot,0,0,0,0
354.jpg,520,520,left_foot,0,0,0,0,right_foot,151,65,292,501
358.jpg,520,520,left_foot,0,0,0,0,right_foot,14,49,179,501
2724.jpg,520,520,left_foot,103,14,252,347,right_foot,249,17,389,376
361.jpg,520,520,left_foot,59,88,277,447,right_foot,272,84,465,426
6033.jpg,520,520,left_foot,0,0,0,0,right_foot,25,263,118,480
2656.jpg,520,520,left_foot,0,0,0,0,right_foot,11,58,260,482
367.jpg,520,520,left_foot,231,135,377,501,right_foot,0,0,0,0
2511.jpg,520,520,left_foot,201,11,388,469,right_foot,0,0,0,0
371.jpg,520,520,left_foot,242,89,394,406,right_foot,90,110,247,406
372.jpg,520,520,left_foot,0,0,0,0,right_foot,179,133,259,441
373.jpg,520,520,left_foot,240,67,386,479,right_foot,0,0,0,0
375.jpg,520,520,left_foot,0,0,0,0,right_foot,221,50,320,431
2512.jpg,520,520,left_foot,154,11,336,475,right_foot,0,0,0,0
480.jpg,520,520,left_foot,286,205,444,463,right_foot,172,255,319,497
377.jpg,520,520,left_foot,233,11,434,501,right_foot,0,0,0,0
380.jpg,520,520,left_foot,69,97,304,220,right_foot,64,252,313,368
384.jpg,520,520,left_foot,0,0,0,0,right_foot,259,325,389,501
385.jpg,520,520,left_foot,265,122,437,368,right_foot,83,119,196,386
386.jpg,520,520,left_foot,173,121,306,438,right_foot,0,0,0,0
387.jpg,520,520,left_foot,235,39,405,480,right_foot,0,0,0,0
388.jpg,520,520,left_foot,86,46,260,477,right_foot,252,24,423,452
2979.jpg,520,520,left_foot,60,62,254,501,right_foot,274,26,463,501
2513.jpg,520,520,left_foot,11,11,217,494,right_foot,274,11,477,501
392.jpg,520,520,left_foot,0,0,0,0,right_foot,164,15,390,434
631.jpg,520,520,left_foot,13,97,269,228,right_foot,11,219,223,329
768.jpg,520,520,left_foot,250,213,393,501,right_foot,89,231,236,501
2517.jpg,520,520,left_foot,108,51,245,491,right_foot,250,69,428,501
397.jpg,520,520,left_foot,180,217,239,387,right_foot,259,204,321,390
399.jpg,520,520,left_foot,78,11,222,501,right_foot,251,25,399,501
405.jpg,520,520,left_foot,270,116,501,471,right_foot,40,140,263,501
406.jpg,520,520,left_foot,0,0,0,0,right_foot,11,11,300,501
412.jpg,520,520,left_foot,334,11,501,501,right_foot,0,0,0,0
409.jpg,520,520,left_foot,166,53,377,374,right_foot,0,0,0,0
410.jpg,520,520,left_foot,288,312,392,388,right_foot,358,222,501,276
769.jpg,520,520,left_foot,159,25,406,460,right_foot,0,0,0,0
2814.jpg,520,520,left_foot,169,27,326,446,right_foot,330,223,501,501
481.jpg,520,520,left_foot,114,207,193,336,right_foot,253,200,329,338
414.jpg,520,520,left_foot,0,0,0,0,right_foot,140,57,310,501
416.jpg,520,520,left_foot,119,257,193,420,right_foot,192,268,263,429
418.jpg,520,520,left_foot,35,11,271,501,right_foot,259,36,498,501
421.jpg,520,520,left_foot,228,98,420,397,right_foot,0,0,0,0
425.jpg,520,520,left_foot,245,39,392,501,right_foot,0,0,0,0
426.jpg,520,520,left_foot,144,295,219,433,right_foot,323,282,391,455
427.jpg,520,520,left_foot,159,260,226,386,right_foot,0,0,0,0
431.jpg,520,520,left_foot,0,0,0,0,right_foot,120,82,224,501
432.jpg,520,520,left_foot,159,76,383,478,right_foot,0,0,0,0
434.jpg,520,520,left_foot,175,89,245,300,right_foot,261,102,329,317
437.jpg,520,520,left_foot,132,36,362,501,right_foot,0,0,0,0
438.jpg,520,520,left_foot,167,264,225,438,right_foot,272,270,332,449
440.jpg,520,520,left_foot,147,11,373,483,right_foot,0,0,0,0
441.jpg,520,520,left_foot,180,201,244,384,right_foot,248,231,308,425
442.jpg,520,520,left_foot,130,253,392,430,right_foot,86,106,352,273
3293.jpg,520,520,left_foot,207,27,422,501,right_foot,0,0,0,0
447.jpg,520,520,left_foot,231,87,403,427,right_foot,0,0,0,0
482.jpg,520,520,left_foot,82,208,212,432,right_foot,249,213,375,429
448.jpg,520,520,left_foot,197,294,244,500,right_foot,247,296,288,500
679.jpg,520,520,left_foot,0,0,0,0,right_foot,109,52,291,474
449.jpg,520,520,left_foot,161,293,238,492,right_foot,269,297,349,490
2573.jpg,520,520,left_foot,102,136,252,501,right_foot,286,171,449,501
2725.jpg,520,520,left_foot,116,131,202,291,right_foot,253,134,345,304
1520.jpg,520,520,left_foot,0,0,0,0,right_foot,189,122,281,446
68.jpg,520,520,left_foot,114,84,230,429,right_foot,297,95,409,483
450.jpg,520,520,left_foot,72,82,215,404,right_foot,290,62,399,425
451.jpg,520,520,left_foot,253,57,337,355,right_foot,169,67,256,357
67.jpg,520,520,left_foot,159,11,333,501,right_foot,0,0,0,0
455.jpg,520,520,left_foot,216,86,286,253,right_foot,104,11,201,86
456.jpg,520,520,left_foot,198,40,348,395,right_foot,0,0,0,0
458.jpg,520,520,left_foot,281,142,386,399,right_foot,84,139,198,393
460.jpg,520,520,left_foot,0,0,0,0,right_foot,11,63,182,501
462.jpg,520,520,left_foot,0,0,0,0,right_foot,115,59,366,501
463.jpg,520,520,left_foot,0,0,0,0,right_foot,211,305,270,434
466.jpg,520,520,left_foot,157,114,250,485,right_foot,246,134,336,476
467.jpg,520,520,left_foot,200,103,346,381,right_foot,0,0,0,0
2520.jpg,520,520,left_foot,0,0,0,0,right_foot,173,11,401,486
1522.jpg,520,520,left_foot,188,202,332,501,right_foot,0,0,0,0
469.jpg,520,520,left_foot,46,189,186,396,right_foot,284,200,449,412
76.jpg,520,520,left_foot,87,215,207,477,right_foot,244,223,359,463
78.jpg,520,520,left_foot,74,70,362,218,right_foot,50,262,367,398
2574.jpg,520,520,left_foot,59,20,237,501,right_foot,239,13,412,501
2816.jpg,520,520,left_foot,79,51,269,501,right_foot,270,51,462,501
633.jpg,520,520,left_foot,303,33,466,437,right_foot,55,42,215,417
634.jpg,520,520,left_foot,0,0,0,0,right_foot,87,167,201,447
472.jpg,520,520,left_foot,111,182,262,426,right_foot,0,0,0,0
1605.jpg,520,520,left_foot,0,0,0,0,right_foot,30,172,230,463
474.jpg,520,520,left_foot,161,292,237,472,right_foot,273,298,351,483
475.jpg,520,520,left_foot,303,163,386,386,right_foot,0,0,0,0
635.jpg,520,520,left_foot,260,225,380,501,right_foot,335,184,473,501
484.jpg,520,520,left_foot,358,71,501,420,right_foot,0,0,0,0
485.jpg,520,520,left_foot,233,197,339,373,right_foot,0,0,0,0
1641.jpg,520,520,left_foot,0,0,0,0,right_foot,85,62,223,493
2726.jpg,520,520,left_foot,0,0,0,0,right_foot,115,11,304,501
21.jpg,520,520,left_foot,224,90,329,488,right_foot,332,90,446,501
65.jpg,520,520,left_foot,249,11,397,449,right_foot,0,0,0,0
2393.jpg,520,520,left_foot,0,0,0,0,right_foot,15,116,501,367
636.jpg,520,520,left_foot,201,199,257,355,right_foot,256,201,315,372
72.jpg,520,520,left_foot,68,134,205,305,right_foot,301,101,399,281
73.jpg,520,520,left_foot,161,83,271,272,right_foot,311,341,433,501
84.jpg,520,520,left_foot,98,22,198,271,right_foot,340,26,440,315
2817.jpg,520,520,left_foot,83,11,347,501,right_foot,0,0,0,0
486.jpg,520,520,left_foot,192,66,386,501,right_foot,0,0,0,0
2522.jpg,520,520,left_foot,170,270,280,501,right_foot,271,279,388,501
88.jpg,520,520,left_foot,199,189,267,423,right_foot,275,178,350,430
637.jpg,520,520,left_foot,0,0,0,0,right_foot,24,129,136,475
98.jpg,520,520,left_foot,0,0,0,0,right_foot,103,176,212,500
97.jpg,520,520,left_foot,269,63,452,410,right_foot,41,124,223,453
2575.jpg,520,520,left_foot,32,24,256,501,right_foot,221,11,450,501
640.jpg,520,520,left_foot,0,0,0,0,right_foot,63,95,168,360
1775.jpg,520,520,left_foot,0,0,0,0,right_foot,131,11,383,501
2818.jpg,520,520,left_foot,0,0,0,0,right_foot,167,11,382,501
206.jpg,520,520,left_foot,55,131,188,459,right_foot,0,0,0,0
641.jpg,520,520,left_foot,124,286,182,455,right_foot,322,296,397,472
643.jpg,520,520,left_foot,256,37,391,483,right_foot,0,0,0,0
209.jpg,520,520,left_foot,206,11,350,466,right_foot,0,0,0,0
644.jpg,520,520,left_foot,98,187,343,369,right_foot,0,0,0,0
208.jpg,520,520,left_foot,275,69,393,451,right_foot,0,0,0,0
1787.jpg,520,520,left_foot,121,55,240,401,right_foot,261,53,406,397
2012.jpg,520,520,left_foot,213,17,367,491,right_foot,0,0,0,0
646.jpg,520,520,left_foot,0,0,0,0,right_foot,127,19,325,449
647.jpg,520,520,left_foot,0,0,0,0,right_foot,91,60,251,501
2394.jpg,520,520,left_foot,0,0,0,0,right_foot,254,44,388,501
213.jpg,520,520,left_foot,0,0,0,0,right_foot,145,62,419,501
650.jpg,520,520,left_foot,11,72,268,199,right_foot,41,213,344,316
1809.jpg,520,520,left_foot,255,90,385,472,right_foot,130,120,258,484
2819.jpg,520,520,left_foot,180,127,365,501,right_foot,0,0,0,0
